ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type,Cycles [cycle]
0,8.29,dot_kernel,..cublasGemvTensor..,6.85,0.57,40.88,14.48,26,"  512,    1,    1","  128,    1,    1",Kernel: SIMT,"10,183"
1,98.68,reduce_1Block_kernel,..reduce_1Block_kernel..,4.96,4.89,0.16,0.50,34,"    1,    1,    1","  128,    1,    1",Kernel: SIMT,"7,359"
2,6.82,dot_kernel,..cublasGemvTensor..,6.43,0.44,40.49,14.44,26,"  512,    1,    1","  128,    1,    1",Kernel: SIMT,"9,547"
3,98.68,reduce_1Block_kernel,..reduce_1Block_kernel..,4.99,4.93,0.15,0.56,34,"    1,    1,    1","  128,    1,    1",Kernel: SIMT,"7,431"
4,97.37,csr_partition_kernel,..csr_partition_kernel..,8.29,8.07,0.08,1.29,22,"    2,    1,    1","  256,    1,    1",Kernel: SIMT,"12,313"
5,8.19,csrmv_v3_kernel,..integral_constant..,18.69,1.53,34.72,44.53,56,"  319,    1,    1","  128,    1,    1",Kernel: SIMT,"27,926"
6,11.08,dot_kernel,..cublasGemvTensor..,7.71,0.85,35.59,23.96,26,"  512,    1,    1","  128,    1,    1",Kernel: SIMT,"11,458"
7,98.68,reduce_1Block_kernel,..reduce_1Block_kernel..,4.90,4.83,0.16,0.50,34,"    1,    1,    1","  128,    1,    1",Kernel: SIMT,"7,250"
8,6.66,axpy_kernel_val,..cublasAxpyParamsVal..,5.28,0.35,12.95,35.47,36,"  171,    1,    1","  384,    1,    1",Kernel: SIMT,"7,793"
9,8.36,axpy_kernel_val,..cublasAxpyParamsVal..,5.18,0.43,12.88,35.96,36,"  171,    1,    1","  384,    1,    1",Kernel: SIMT,"7,663"
10,9.01,dot_kernel,..cublasGemvTensor..,6.50,0.58,40.94,14.50,26,"  512,    1,    1","  128,    1,    1",Kernel: SIMT,"9,660"
11,98.68,reduce_1Block_kernel,..reduce_1Block_kernel..,4.90,4.83,0.16,0.51,34,"    1,    1,    1","  128,    1,    1",Kernel: SIMT,"7,253"
12,8.14,update_p_kernel,update_p_kernel(double..,4.96,0.40,6.61,37.10,16,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"7,317"
13,97.37,csr_partition_kernel,..csr_partition_kernel..,8.38,8.16,0.08,1.28,22,"    2,    1,    1","  256,    1,    1",Kernel: SIMT,"12,463"
14,11.47,csrmv_v3_kernel,..integral_constant..,18.82,2.16,34.25,44.23,56,"  319,    1,    1","  128,    1,    1",Kernel: SIMT,"28,143"
15,12.06,dot_kernel,..cublasGemvTensor..,7.68,0.93,35.58,24.05,26,"  512,    1,    1","  128,    1,    1",Kernel: SIMT,"11,438"
16,98.68,reduce_1Block_kernel,..reduce_1Block_kernel..,4.93,4.86,0.16,0.49,34,"    1,    1,    1","  128,    1,    1",Kernel: SIMT,"7,274"
17,6.92,axpy_kernel_val,..cublasAxpyParamsVal..,5.15,0.36,13.25,36.17,36,"  171,    1,    1","  384,    1,    1",Kernel: SIMT,"7,620"
18,16.24,axpy_kernel_val,..cublasAxpyParamsVal..,4.93,0.80,12.83,37.53,36,"  171,    1,    1","  384,    1,    1",Kernel: SIMT,"7,324"
19,7.84,dot_kernel,..cublasGemvTensor..,6.72,0.53,40.84,14.46,26,"  512,    1,    1","  128,    1,    1",Kernel: SIMT,"9,996"
20,98.68,reduce_1Block_kernel,..reduce_1Block_kernel..,4.90,4.83,0.16,0.50,34,"    1,    1,    1","  128,    1,    1",Kernel: SIMT,"7,256"
