ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type,Cycles [cycle]
0,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.00,12.16,67.13,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,309"
1,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.00,11.96,67.76,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,133"
2,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.13,0.00,12.20,67.81,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,156"
3,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.03,0.00,12.39,68.49,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"17,995"
4,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.10,0.00,12.33,68.16,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,066"
5,5.12,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.13,0.62,12.13,67.84,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,106"
6,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.00,12.02,67.45,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,242"
7,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.00,12.40,67.29,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,261"
8,5.57,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.68,12.33,67.84,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,146"
9,6.81,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.13,0.83,12.46,67.84,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,025"
10,6.12,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.54,0.77,12.40,65.67,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,669"
11,5.03,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.13,0.61,12.04,67.84,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,076"
12,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.00,12.30,67.37,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,213"
13,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.06,0.00,12.44,68.16,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,022"
14,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.00,12.29,66.97,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,293"
15,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.00,12.43,67.52,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,177"
16,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.10,0.00,12.33,68.08,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,025"
17,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.06,0.00,12.36,68.16,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,045"
18,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.13,0.00,12.32,67.84,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,083"
19,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.13,0.00,12.36,67.84,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,100"
20,5.16,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.63,12.25,67.44,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,228"
21,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.00,12.00,68.10,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,191"
22,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.00,11.92,67.52,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,216"
23,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.03,0.00,10.94,68.57,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"17,947"
24,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.13,0.00,12.42,68.00,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,099"
25,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.00,12.30,67.68,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,144"
26,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.00,12.34,67.60,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,190"
27,5.66,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.69,12.12,67.76,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,142"
28,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.00,12.16,67.84,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,111"
29,5.27,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.64,12.36,67.64,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,149"
30,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.06,0.00,12.25,68.08,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,018"
31,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.00,12.25,67.52,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,221"
32,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.00,12.05,67.76,40," 1024,    1,    1","   64,    1,    1",Kernel: SIMT,"18,138"
