gpu,problem_dim,grid_n,rows,nnz,kernel_variant,block_size,total_time_ms,spmv_time_ms,dot_time_ms,axpy_time_ms,overhead_ms,iterations,rel_residual,abs_error,spmv_gbps,bw_efficiency_pct
[2D N=128] 16384 x 16384, nnz = 81408, avg nnz/row = 4.96875, memory ~ 1.24414 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,cusparse,0,4.389,2.837,0.073,1.441,0.039,1,1.23E-09,7.37E-13,0.46,0.37
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,64,0.717,0.43,0.154,0.032,0.102,1,1.23E-09,7.37E-13,3.04,2.43
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,128,0.303,0.03,0.146,0.028,0.098,1,1.23E-09,7.37E-13,44.03,35.28
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,256,0.314,0.03,0.154,0.029,0.102,1,1.23E-09,7.37E-13,43.46,34.83
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,512,0.303,0.03,0.146,0.028,0.098,1,1.23E-09,7.37E-13,43.32,34.71
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,64,0.401,0.078,0.175,0.03,0.118,1,1.23E-09,7.37E-13,16.62,13.32
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,128,0.336,0.044,0.162,0.03,0.1,1,1.23E-09,7.37E-13,29.74,23.83
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,256,0.358,0.04,0.161,0.043,0.113,1,1.23E-09,7.37E-13,32.25,25.84
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,512,0.16,0.031,0.066,0.029,0.034,1,1.23E-09,7.37E-13,42.69,34.21
[2D N=256] 65536 x 65536, nnz = 326656, avg nnz/row = 4.98, memory ~ 4.99 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,cusparse,0,0.749,0.101,0.294,0.124,0.231,2,7.58E-09,1.35E-12,103.98,83.32
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,row_per_thread,64,0.34,0.026,0.163,0.077,0.074,2,7.58E-09,1.35E-12,405.1,324.6
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,row_per_thread,128,0.344,0.025,0.156,0.083,0.081,2,7.58E-09,1.35E-12,420.2,336.7
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,row_per_thread,256,0.636,0.039,0.298,0.085,0.214,2,7.58E-09,1.35E-12,265.78,212.97
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,row_per_thread,512,0.626,0.039,0.289,0.084,0.215,2,7.58E-09,1.35E-12,271.3,217.38
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,warp_per_row,64,0.753,0.135,0.298,0.09,0.23,2,7.58E-09,1.35E-12,77.25,61.9
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,warp_per_row,128,0.733,0.135,0.293,0.084,0.221,2,7.58E-09,1.35E-12,77.69,62.25
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,warp_per_row,256,0.774,0.135,0.309,0.086,0.244,2,7.58E-09,1.35E-12,77.71,62.27
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,warp_per_row,512,0.736,0.134,0.296,0.085,0.221,2,7.58E-09,1.35E-12,78.28,62.73
[2D N=512] 262144 x 262144, nnz = 1308672, avg nnz/row = 4.99, memory ~ 19.98 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,cusparse,0,2.308,0.322,0.776,0.472,0.738,5,4.88E-09,9.70E-13,325.38,260.72
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,row_per_thread,64,1.019,0.104,0.473,0.253,0.189,5,4.88E-09,9.70E-13,1009.24,808.68
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,row_per_thread,128,2,0.107,1,0.283,0.611,5,4.88E-09,9.70E-13,978.17,783.79
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,row_per_thread,256,1.92,0.105,0.929,0.278,0.609,5,4.88E-09,9.70E-13,997.85,799.56
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,row_per_thread,512,1.011,0.09,0.48,0.24,0.201,5,4.88E-09,9.70E-13,1157.75,927.68
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,warp_per_row,64,3.069,1.048,1.127,0.299,0.595,5,4.88E-09,9.70E-13,99.97,80.11
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,warp_per_row,128,2.85,1.049,0.926,0.275,0.6,5,4.88E-09,9.70E-13,99.83,79.99
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,warp_per_row,256,2.89,1.051,0.962,0.279,0.598,5,4.88E-09,9.70E-13,99.61,79.82
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,warp_per_row,512,1.942,1.047,0.462,0.241,0.192,5,4.88E-09,9.70E-13,100.06,80.18
[2D N=1024] 1048576 x 1048576, nnz = 5238784, avg nnz/row = 5.00, memory ~ 79.95 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,cusparse,0,6.831,1.826,2.739,0.849,1.417,11,8.34E-09,1.66E-12,505.11,404.73
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,row_per_thread,64,5.106,1.747,1.425,1.021,0.914,11,8.34E-09,1.66E-12,527.89,422.99
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,row_per_thread,128,4.765,1.751,1.278,1.039,0.697,11,8.34E-09,1.66E-12,526.76,422.08
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,row_per_thread,256,6.793,1.746,1.709,2.092,1.246,11,8.34E-09,1.66E-12,528.23,423.26
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,row_per_thread,512,4.228,1.726,1.048,1.016,0.438,11,8.34E-09,1.66E-12,534.36,428.17
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,64,14.031,8.892,1.714,1.885,1.54,11,8.34E-09,1.66E-12,103.71,83.1
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,128,12.282,7.345,1.687,0.914,2.335,11,8.34E-09,1.66E-12,125.56,100.61
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,256,12.119,7.339,1.632,1.177,1.971,11,8.34E-09,1.66E-12,125.66,100.69
NVIDIA GeForce RTX 4090 Laptop GPU,2D,1024,1048576,5238784,warp_per_row,512,9.86,7.378,1.105,0.88,0.497,11,8.34E-09,1.66E-12,124.99,100.15
[2D N=2048] 4194304 x 4194304, nnz = 20963328, avg nnz/row = 5.00, memory ~ 319.91 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,cusparse,0,48.183,22.82,7.434,13.894,4.035,31,9.81E-09,2.01E-12,455.68,365.13
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,64,45.043,22.628,7.52,12.518,2.377,31,9.81E-09,2.01E-12,459.56,368.24
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,128,49.282,22.653,9.579,13.29,3.759,31,9.81E-09,2.01E-12,459.05,367.82
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,256,48.911,21.352,8.201,12.578,6.78,31,9.81E-09,2.01E-12,487.01,390.24
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,row_per_thread,512,48.891,22.514,8.067,13.273,5.036,31,9.81E-09,2.01E-12,461.88,370.09
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,64,115.631,88.846,8.444,14.209,4.132,31,9.81E-09,2.01E-12,117.04,93.78
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,128,113.843,88.312,8.139,14.271,3.121,31,9.81E-09,2.01E-12,117.75,94.35
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,256,112.159,87.03,8.027,14.326,2.776,31,9.81E-09,2.01E-12,119.49,95.74
NVIDIA GeForce RTX 4090 Laptop GPU,2D,2048,4194304,20963328,warp_per_row,512,113.488,89.232,8.139,13.206,2.911,31,9.81E-09,2.01E-12,116.54,93.38
[3D N=32] 32768 x 32768, nnz = 223232, avg nnz/row = 6.81, memory ~ 3.18 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,cusparse,0,0.213,0.036,0.077,0.042,0.058,1,5.34E-12,5.40E-14,92.95,74.48
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,64,0.307,0.033,0.145,0.032,0.097,1,5.34E-12,5.40E-14,101.95,81.69
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,128,0.679,0.494,0.112,0.036,0.036,1,5.34E-12,5.40E-14,6.75,5.41
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,256,0.764,0.218,0.49,0.018,0.038,1,5.34E-12,5.40E-14,15.31,12.27
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,row_per_thread,512,0.137,0.013,0.079,0.014,0.032,1,5.34E-12,5.40E-14,261.79,209.77
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,64,0.185,0.032,0.105,0.015,0.034,1,5.34E-12,5.40E-14,104.3,83.57
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,128,0.178,0.038,0.08,0.026,0.034,1,5.34E-12,5.40E-14,87.7,70.28
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,256,0.361,0.052,0.154,0.049,0.106,1,5.34E-12,5.40E-14,64.68,51.82
NVIDIA GeForce RTX 4090 Laptop GPU,3D,32,32768,223232,warp_per_row,512,0.162,0.032,0.073,0.027,0.031,1,5.34E-12,5.40E-14,103.67,83.07
[3D N=48] 110592 x 110592, nnz = 760320, avg nnz/row = 6.88, memory ~ 10.81 MB,,,,,,,,,,,,,
