gpu,problem_dim,grid_n,rows,nnz,kernel_variant,block_size,total_time_ms,spmv_time_ms,dot_time_ms,axpy_time_ms,overhead_ms,iterations,rel_residual,abs_error,spmv_gbps,bw_efficiency_pct
[2D N=128] 16384 x 16384, nnz = 81408, avg nnz/row = 4.96875, memory ~ 1.24414 MB,,,,,,,,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,cusparse,0,3.663,2.954,0.183,0.407,0.118,1,1.23E-09,7.37E-13,0.44,0.35
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,64,0.411,0.096,0.193,0.033,0.088,1,1.23E-09,7.37E-13,13.55,10.86
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,128,0.291,0.029,0.135,0.028,0.099,1,1.23E-09,7.37E-13,45.45,36.42
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,256,0.304,0.03,0.147,0.028,0.099,1,1.23E-09,7.37E-13,43.42,34.79
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,512,0.171,0.037,0.073,0.025,0.035,1,1.23E-09,7.37E-13,35.36,28.33
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,64,0.227,0.047,0.117,0.029,0.034,1,1.23E-09,7.37E-13,27.55,22.07
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,128,0.157,0.025,0.069,0.03,0.033,1,1.23E-09,7.37E-13,52.33,41.93
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,256,0.321,0.042,0.147,0.032,0.101,1,1.23E-09,7.37E-13,31.19,24.99
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,512,0.353,0.043,0.151,0.051,0.109,1,1.23E-09,7.37E-13,30.38,24.34
