gpu,problem_dim,grid_n,rows,nnz,kernel_variant,block_size,avg_spmv_ms,spmv_gbps,bw_efficiency_pct
[2D N=64] 4096 x 4096, nnz = 20224, avg nnz/row = 4.9375, memory ~ 0.309574 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,row_per_thread,64,0.0129,25.16,20.16
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,row_per_thread,128,0.0119,27.23,21.82
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,row_per_thread,256,0.0119,27.33,21.9
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,row_per_thread,512,0.012,27.12,21.73
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,warp_per_row,64,0.0116,27.91,22.36
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,warp_per_row,128,0.0128,25.32,20.29
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,warp_per_row,256,0.0114,28.38,22.74
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,warp_per_row,512,0.0116,28.1,22.52
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,cusparse,0,0.0298,10.9,8.73
[2D N=128] 16384 x 16384, nnz = 81408, avg nnz/row = 4.97, memory ~ 1.24 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,64,0.0132,98.68,79.07
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,128,0.0122,106.9,85.66
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,256,0.0122,106.88,85.64
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,512,0.019,68.82,55.14
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,64,0.0187,69.7,55.85
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,128,0.0184,71.09,56.97
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,256,0.0184,70.86,56.78
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,512,0.0186,70.12,56.18
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,cusparse,0,0.0444,29.37,23.53
[2D N=256] 65536 x 65536, nnz = 326656, avg nnz/row = 4.98, memory ~ 4.99 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,row_per_thread,64,0.0089,588.48,471.54
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,row_per_thread,128,0.0084,622.17,498.53
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,row_per_thread,256,0.008,650.91,521.56
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,row_per_thread,512,0.0082,635.6,509.29
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,warp_per_row,64,0.0531,98.5,78.93
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,warp_per_row,128,0.065,80.43,64.45
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,warp_per_row,256,0.053,98.73,79.11
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,warp_per_row,512,0.053,98.67,79.06
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,cusparse,0,0.0475,110.04,88.17
[2D N=512] 262144 x 262144, nnz = 1308672, avg nnz/row = 4.99, memory ~ 19.98 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,row_per_thread,64,0.0189,1110.61,889.91
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,row_per_thread,128,0.0186,1124.07,900.7
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,row_per_thread,256,0.0176,1189.99,953.52
