gpu,problem_dim,grid_n,rows,nnz,kernel_variant,block_size,avg_spmv_ms,spmv_gbps,bw_efficiency_pct
[2D N=64] 4096 x 4096, nnz = 20224, avg nnz/row = 4.9375, memory ~ 0.309574 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,row_per_thread,64,0.0156,20.75,16.62
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,row_per_thread,128,0.0102,31.76,25.45
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,row_per_thread,256,0.0066,49.51,39.67
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,row_per_thread,512,0.0077,42.15,33.78
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,warp_per_row,64,0.0109,29.79,23.87
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,warp_per_row,128,0.0116,27.88,22.34
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,warp_per_row,256,0.009,36.15,28.96
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,warp_per_row,512,0.0095,34.24,27.43
NVIDIA GeForce RTX 4090 Laptop GPU,2D,64,4096,20224,cusparse,0,0.0354,9.18,7.35
[2D N=128] 16384 x 16384, nnz = 81408, avg nnz/row = 4.97, memory ~ 1.24 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,64,0.0081,160.86,128.89
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,128,0.0108,120.99,96.95
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,256,0.0116,112.05,89.78
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,row_per_thread,512,0.0132,98.53,78.95
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,64,0.017,76.75,61.5
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,128,0.0158,82.8,66.35
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,256,0.0177,73.51,58.91
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,warp_per_row,512,0.0306,42.64,34.16
NVIDIA GeForce RTX 4090 Laptop GPU,2D,128,16384,81408,cusparse,0,0.0294,44.33,35.52
[2D N=256] 65536 x 65536, nnz = 326656, avg nnz/row = 4.98, memory ~ 4.99 MB,,,,,,
